destination_id,name,alternative_names,city,district,state,country,latitude,longitude,destination_type,heritage_category,description,historical_significance,cultural_significance,best_time_to_visit,recommended_duration,estimated_budget,budget_category,crowd_level,hidden_gem_score,tourism_popularity,visitor_count,domestic_visitors,international_visitors,accessibility_score,senior_friendly,wheelchair_accessible,walking_difficulty,public_transport_available,nearest_transport,nearest_hospital,nearest_police_station,network_availability,lighting_condition,women_safety_score,women_safety_notes,emergency_support,nearby_safe_stay,sanitary_facilities,local_artisan_presence,local_crafts,local_food,cultural_experiences,responsible_tourism_notes,source,source_url,source_year,data_confidence
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",NULL,Hoshangabad (Narmadapuram),Not Available,Madhya Pradesh,India,22.75,77.7167,Monument/Site (unverified against supplied CPM PDF),Archaeological Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,23372,23354,18,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0012,Ancient Site Bhangarh,NULL,Bhangarh,Not Available,Rajasthan,India,27.0952,76.2825,Centrally Protected Monument/Site,Archaeological Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,High,192726,190833,1893,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",NULL,Vaishali,Not Available,Bihar,India,25.9833,85.1333,Monument/Site (unverified against supplied CPM PDF),Archaeological Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Medium,102593,89631,12962,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0014,Ancient Site of Vikramshila Antichak,NULL,Bhagalpur,Not Available,Bihar,India,25.3167,87.2667,Monument/Site (unverified against supplied CPM PDF),Archaeological Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Medium,66009,65573,436,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0015,"Asokan Rock Edict, Jungadh",NULL,Junagadh,Not Available,Gujarat,India,21.5222,70.4579,Monument/Site (unverified against supplied CPM PDF),Archaeological Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,6344,6176,168,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0016,Aurangabad Caves,NULL,Aurangabad (Chhatrapati Sambhajinagar),Not Available,Maharashtra,India,19.907,75.326,Centrally Protected Monument/Site,Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,High,184722,182032,2690,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",NULL,Avantipora,Not Available,Jammu and Kashmir,India,33.9167,75.0167,Monument/Site (unverified against supplied CPM PDF),Temple,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,9971,9939,32,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",NULL,Junagadh,Not Available,Gujarat,India,21.52,70.47,Monument/Site (unverified against supplied CPM PDF),Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,6000,5858,142,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",NULL,Chanderi,Not Available,Madhya Pradesh,India,24.7167,78.1333,Monument/Site (unverified against supplied CPM PDF),Palace,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,13797,13708,89,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0020,Baori at Abhaneri,NULL,Abhaneri,Not Available,Rajasthan,India,27.0086,76.6058,Monument/Site (unverified against supplied CPM PDF),Stepwell,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,High,152553,66821,85732,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
