circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank,tourism_hiddenness_score,unesco_match,unesco_match_flag,unesco_significance_score,asi_protection_score,visitor_trend_score,hidden_heritage_score_v2,hidden_heritage_rank,heritage_signal,recommendation_reason,ml_hidden_heritage_prediction,ml_rank,asi_name,matched_poi_name,match_type,match_confidence,latitude,longitude,poi_characteristics,poi_source,has_geo_match,high_confidence_geo_match
Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",5858,142,1691,1,-71.13,-99.3,6000,1692,-71.8,78.76,available,7,78.76,,0,0.0,100.0,60.0,61.32,17,ASI protected,High heritage protection with comparatively low visitor demand,61.69,18,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",,unmatched,0.0,,,,,False,False
Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",6610,0,2129,0,-67.79,,6610,2129,-67.7912254160363,77.91,available,9,77.91,,0,0.0,100.0,60.0,60.85,18,ASI protected,High heritage protection with comparatively low visitor demand,60.85,20,"Palace Complex at Ramnagar, Distt. Udhampur",,unmatched,0.0,,,,,False,False
Sarnath,Tomb of Lal Khan,6819,9,1972,2,-71.08,-77.78,6828,1974,-71.0896309314587,77.63,available,10,77.63,,0,0.0,100.0,60.0,60.7,19,ASI protected,High heritage protection with comparatively low visitor demand,60.82,21,Tomb of Lal Khan,,unmatched,0.0,,,,,False,False
Srinagar,"Group of Temples at kiramchi, District Udhampur",5731,4,5816,0,1.48,-100.0,5735,5816,1.4123801220575414,79.16,available,6,79.16,,0,0.0,100.0,40.0,60.54,20,ASI protected,High heritage protection with comparatively low visitor demand,61.93,17,"Group of Temples at kiramchi, District Udhampur",,unmatched,0.0,,,,,False,False
Aurangabad,Ellora Caves,1259261,21426,163313,159,-87.03,-99.26,1280687,163472,-87.23560089233357,31.58,available,137,31.58,Ellora Caves,1,100.0,100.0,60.0,60.37,21,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,60.62,22,Ellora Caves,,unmatched,0.0,,,,,False,False
Rajkot,"Asokan Rock Edict, Jungadh",6176,168,10498,16,69.98,-90.48,6344,10514,65.73139974779319,78.27,available,8,78.27,,0,0.0,100.0,40.0,60.05,22,ASI protected,High heritage protection with comparatively low visitor demand,61.41,19,"Asokan Rock Edict, Jungadh",,unmatched,0.0,,,,,False,False
Amaravati,Amaravati mahastupa,8038,285,1864,0,-76.81,-100.0,8323,1864,-77.6042292442629,75.89,available,11,75.89,,0,0.0,100.0,60.0,59.74,23,ASI protected,High heritage protection with comparatively low visitor demand,59.97,25,Amaravati mahastupa,,unmatched,0.0,,,,,False,False
Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",9939,32,5706,8,-42.59,-75.0,9971,5714,-42.69381205495939,74.3,available,12,74.3,,0,0.0,100.0,60.0,58.86,24,ASI protected,High heritage protection with comparatively low visitor demand,59.2,26,"Avantiswamin Temple, Avantipur, District Pulwama",,unmatched,0.0,,,,,False,False
Agra,Agra Fort,1627154,386522,371242,2810,-77.18,-99.27,2013676,374052,-81.42441981728938,27.6,available,141,27.6,Agra Fort,1,100.0,100.0,60.0,58.18,25,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,60.4,23,Agra Fort,,unmatched,0.0,,,,,False,False
Dharwad,"Temples & Sculpture Shed, lakkumdi",13019,91,5652,0,-56.59,-100.0,13110,5652,-56.88787185354691,71.89,available,13,71.89,,0,0.0,100.0,60.0,57.54,26,ASI protected,High heritage protection with comparatively low visitor demand,57.71,27,"Temples & Sculpture Shed, lakkumdi",,unmatched,0.0,,,,,False,False
