monument_name,city,state,latitude,longitude,domestic_visits,foreign_visits,historical_popularity,heritage_category
"Temples & Sculpture Shed, lakkumdi",Lakkundi,Karnataka,15.3705,75.708,13019,91,Low,Temple
"Group of Monuments, Hampi",Hampi,Karnataka,15.335,76.46,587238,27006,Very High,UNESCO World Heritage Site
Bellary Fort,Ballari,Karnataka,15.1394,76.9214,28723,56,Medium,Fort
Dariya Daulath Bagh,Srirangapatna,Karnataka,12.4222,76.6975,646560,14016,Very High,Palace
Keshava Temple,Somanathapura,Karnataka,12.2751,76.8763,178425,8653,High,Temple
Palace of Tipu Sultan,Bengaluru,Karnataka,12.9591,77.5746,256964,10719,Very High,Palace
Fortress and Temple Chitrudurga Fort,Chitradurga,Karnataka,14.2308,76.4173,338340,1095,Very High,Fort
Cooch Bihar Palace,Cooch Behar,West Bengal,26.32,89.44,465553,52,Very High,Palace
Hazarduari Palace,Murshidabad,West Bengal,24.1833,88.2667,674113,1723,Very High,Palace
Bishnupur Temples,Bishnupur,West Bengal,23.0745,87.3119,154986,505,High,Temple
Metcelf-Hall,Kolkata,West Bengal,22.5697,88.3453,605,27,Low,Colonial Monument
"Asokan Rock Edict, Jungadh",Junagadh,Gujarat,21.5222,70.4579,6176,168,Low,Archaeological Site
"Buddhish Caves, Junagadh",Junagadh,Gujarat,21.5175,70.465,18755,796,Low,Cave Monument
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",Junagadh,Gujarat,21.52,70.47,5858,142,Low,Cave Monument
"Champaner Monuments, Pavagadh",Champaner,Gujarat,22.487,73.537,59402,1948,Medium,UNESCO World Heritage Site
"Sun temple, Modhera",Modhera,Gujarat,23.5859,72.1258,208028,3732,High,Temple
"Rani Ki-Vav, Patan",Patan,Gujarat,23.8595,72.1023,337134,3816,Very High,UNESCO World Heritage Site
"Rudabai Step Well, Adalaj",Adalaj,Gujarat,23.1667,72.5833,388042,7907,Very High,Stepwell
"Sun Temple, Konark",Konark,Odisha,19.8876,86.0945,1997427,5294,Iconic,UNESCO World Heritage Site
Ancient Remains on both Udaigiri & Khandagiri Hills,Bhubaneswar,Odisha,20.2596,85.783,311115,2489,Very High,Cave Monument
Rajarani Temple,Bhubaneswar,Odisha,20.2663,85.8383,16916,506,Low,Temple
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,Ratnagiri,Odisha,20.6167,86.3333,34562,571,Medium,Stupa/Buddhist Site
Ruins of Buddhist Temples and Images lalitgiri,Lalitgiri,Odisha,20.63,86.25,44573,389,Medium,Stupa/Buddhist Site
Ajanta Caves,Aurangabad (Chhatrapati Sambhajinagar),Maharashtra,20.5519,75.7033,273344,15899,Very High,UNESCO World Heritage Site
Ellora Caves,Aurangabad (Chhatrapati Sambhajinagar),Maharashtra,20.0258,75.178,1259261,21426,Iconic,UNESCO World Heritage Site
Tomb of Rabia Durani (Bibi ka Maqbara),Aurangabad (Chhatrapati Sambhajinagar),Maharashtra,19.9095,75.304,1111778,9530,Iconic,Tomb
Daulatabad Fort,Aurangabad (Chhatrapati Sambhajinagar),Maharashtra,19.9438,75.2183,515935,5729,Very High,Fort
Pandulena Caves,Nashik,Maharashtra,19.9615,73.7503,202871,1128,High,Cave Monument
Aurangabad Caves,Aurangabad (Chhatrapati Sambhajinagar),Maharashtra,19.907,75.326,182032,2690,High,Cave Monument
Elephanta Caves,Mumbai,Maharashtra,18.9633,72.9315,686862,37891,Very High,UNESCO World Heritage Site
Buddhist Caves Kanheri,Mumbai,Maharashtra,19.2147,72.9106,401808,12106,Very High,Cave Monument
Shaniwarwada,Pune,Maharashtra,18.5195,73.8553,1128072,8505,Iconic,Fort
Aga  Khan Palace Building,Pune,Maharashtra,18.5606,73.9014,219939,9264,High,Palace
"Cave, Temple and Inscriptions, Junaar, Lenyadri",Junnar,Maharashtra,19.1928,73.8836,354946,105,Very High,Cave Monument
"Caves, Temples and inscriptions Karla",Karla,Maharashtra,18.7833,73.4833,219758,2068,High,Cave Monument
"Cave Temple & Inscriptions, Bhaja",Bhaja,Maharashtra,18.7333,73.4333,80319,1872,Medium,Cave Monument
Raigad Fort,Raigad,Maharashtra,18.236,73.4406,218338,82,High,Fort
"Kolaba Fort, Alibag",Alibag,Maharashtra,18.6414,72.8258,112405,112,High,Fort
"Old Fort, Sholapur",Solapur,Maharashtra,17.6805,75.9335,62238,45,Medium,Fort
"Janjira Fort, Murd",Murud,Maharashtra,18.009,72.949,253315,151,High,Fort
Kondiote Caves,Karjat,Maharashtra,18.7942,73.4419,41490,591,Medium,Cave Monument
Lohgad Fort,Lonavala,Maharashtra,18.7108,73.4797,161651,579,High,Fort
Gawilgarh Fort,Chikhaldara,Maharashtra,21.3667,77.3167,43795,11,Medium,Fort
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",Mansar,Maharashtra,21.3833,79.2167,1596,65,Low,Stupa/Buddhist Site
Suraj Kund,Faridabad,Haryana,28.47,77.28,91447,72,Medium,Archaeological Site
Sheikh Chilli's Tomb,Kurukshetra (Thanesar),Haryana,29.9695,76.8783,39763,46,Medium,Tomb
Khan-I-Khana,Delhi,Delhi,28.5895,77.2453,1782,45,Low,Tomb
Sultanghari Tomb,Delhi,Delhi,28.523,77.159,530,6,Low,Tomb
Tughluqabad,Delhi,Delhi,28.5083,77.2578,76135,908,Medium,Fort
Red Fort,Delhi,Delhi,28.6562,77.241,2200044,91364,Iconic,UNESCO World Heritage Site
Humayun Tomb,Delhi,Delhi,28.5933,77.2507,658318,202288,Iconic,UNESCO World Heritage Site
Qutub Minar,Delhi,Delhi,28.5245,77.1855,2048146,255318,Iconic,UNESCO World Heritage Site
Hauzkhas,Delhi,Delhi,28.5535,77.1892,145544,2625,High,Archaeological Site
Jantar Mantar,Delhi,Delhi,28.627,77.2166,203197,6516,High,Observatory
Safdarjung Tomb,Delhi,Delhi,28.5913,77.2122,72938,15977,Medium,Tomb
Kotla Feroz Shah,Delhi,Delhi,28.6383,77.2419,89397,810,Medium,Fort
Purana Qila,Delhi,Delhi,28.6091,77.2432,662300,5493,Very High,Fort
Ahom Raja's Palace,Sivasagar,Assam,26.985,94.638,44700,175,Medium,Palace
"Kareghar of Ahom Kings, Sibasagar",Sivasagar,Assam,26.9989,94.6425,119912,577,High,Palace
"Ranghar Pavillion, Jaisagar",Sivasagar,Assam,26.9814,94.6389,69063,546,Medium,Palace
Bishnudol,Sivasagar,Assam,26.9833,94.6333,21062,118,Low,Temple
"Group of four MaidansCharaideo, Sibasagar",Charaideo,Assam,27.0333,94.8167,23111,141,Low,Archaeological Site
Upper Fort Aguada,Candolim,Goa,15.4925,73.7738,837898,8104,Iconic,Fort
Charminar,Hyderabad,Telangana,17.3616,78.4747,1151933,7803,Iconic,Monument
Golconda,Hyderabad,Telangana,17.3833,78.4011,1630419,20572,Iconic,Fort
Warangal,Warangal,Telangana,17.9153,79.614,92690,277,Medium,Fort
Ancient Site Bhangarh,Bhangarh,Rajasthan,27.0952,76.2825,190833,1893,High,Archaeological Site
Baori at Abhaneri,Abhaneri,Rajasthan,27.0086,76.6058,66821,85732,High,Stepwell
Deeg Bhawan,Deeg,Rajasthan,27.4719,77.3253,28510,1067,Medium,Palace
Chittaurgarh Fort,Chittorgarh,Rajasthan,24.8887,74.6269,565133,15188,Very High,UNESCO World Heritage Site
Kumbhalgarh Fort,Kumbhalgarh,Rajasthan,25.1487,73.5847,495276,11208,Very High,UNESCO World Heritage Site
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,Ajmer,Rajasthan,26.4692,74.6544,241299,98,High,Pavilion
Ancient Palace Leh,Leh,Ladakh,34.1667,77.5852,56639,5671,Medium,Palace
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",Patna,Bihar,25.6067,85.1547,109962,207,High,Archaeological Site
"Ancient site of Vaishali, Kolhua",Vaishali,Bihar,25.9833,85.1333,89631,12962,Medium,Archaeological Site
Excavated Remains at Nalanda,Nalanda,Bihar,25.1358,85.4436,437506,26903,Very High,UNESCO World Heritage Site
Ancient Site of Vikramshila Antichak,Bhagalpur,Bihar,25.3167,87.2667,65573,436,Medium,Archaeological Site
Sher Shah's Tomb,Sasaram,Bihar,24.9505,84.0201,208177,153,High,Tomb
Temple of Laxman and Old sites including sculptures sirpur,Sirpur,Chhattisgarh,21.3333,82.1833,63759,96,Medium,Temple
