feature,importance
unesco_significance_score,0.38562862666791164
total_visitors_2019_20,0.34700151576901367
tourism_hiddenness_score,0.23997923338167937
total_visitors_2020_21,0.020418798396127216
total_growth_pct,0.0068790582028896655
visitor_trend_score,9.276758237857728e-05
asi_protection_score,0.0
