circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank
Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46,-72.88,-99.11,60330,15002,-75.13343278634179,58.46,available,46
Vadodara,"Champaner Monuments, Pavagadh",59402,1948,39014,81,-34.32,-95.84,61350,39095,-36.27546862265689,58.31,available,47
Mumbai,"Old Fort, Sholapur",62238,45,11293,1,-81.86,-97.78,62283,11294,-81.86664097747379,58.18,available,48
Leh,Ancient Palace Leh,56639,5671,2047,6,-96.39,-99.89,62310,2053,-96.70518375862622,58.17,available,49
Raipur,Temple of Laxman and Old sites including sculptures sirpur,63759,96,44742,44746,-29.83,46510.42,63855,89488,40.14251037506851,57.96,available,50
Patna,Ancient Site of Vikramshila Antichak,65573,436,27583,27583,-57.94,6226.38,66009,55166,-16.42654789498402,57.67,available,51
Guwahati,"Ranghar Pavillion, Jaisagar",69063,546,33939,75,-50.86,-86.26,69609,34014,-51.135629013489634,57.2,available,52
Shimla,Rock-cut Temples and Sculptures,73439,1709,53123,209,-27.66,-87.77,75148,53332,-29.03071272688561,56.53,available,53
Delhi,Tughluqabad,76135,908,12856,109,-83.11,-88.0,77043,12965,-83.1717352647223,56.31,available,54
Jhansi,Kalinjar Fort,81507,137,80291,27,-1.49,-80.29,81644,80318,-1.6241242467297043,55.8,available,55
Mumbai,"Cave Temple & Inscriptions, Bhaja",80319,1872,10976,24,-86.33,-98.72,82191,11000,-86.61653952379214,55.74,available,56
Sarnath,Observatory of Man Singh,83059,954,21379,11,-74.26,-98.85,84013,21390,-74.5396545772678,55.55,available,57
Agra,Ram Bagh,84051,355,18599,54,-77.87,-84.79,84406,18653,-77.90086012842688,55.5,available,58
Lucknow,Site of Sahet mahet,74597,13628,27201,35,-63.54,-99.74,88225,27236,-69.12893170869935,55.11,available,59
Delhi,Safdarjung Tomb,72938,15977,56776,392,-22.16,-97.55,88915,57168,-35.704886689534945,55.05,available,60
Delhi,Kotla Feroz Shah,89397,810,27763,106,-68.94,-86.91,90207,27869,-69.1055017903267,54.92,available,61
Chandigarh,Suraj Kund,91447,72,11132,14,-87.83,-80.56,91519,11146,-87.8211081851856,54.79,available,62
Shimla,"Ruined Fort, kangra",91306,1758,100454,252,10.02,-85.67,93064,100706,8.211553339637238,54.65,available,63
Hyderabad,Warangal,92690,277,64339,54,-30.59,-80.51,92967,64393,-30.73563737670356,54.65,available,63
Patna,"Ancient site of Vaishali, Kolhua",89631,12962,49207,49213,-45.1,279.67,102593,98420,-4.0675289737116564,53.79,available,65
Amaravati,Chandragiri Monument,103489,109,51113,38,-50.61,-65.14,103598,51151,-50.62549470066989,53.7,available,66
Chennai,"Gingee Fort , Gingee",107073,1736,125109,2272,16.84,30.88,108809,127381,17.068441029694235,53.27,available,67
Amaravati,Undavalli caves,109307,494,52924,89,-51.58,-81.98,109801,53013,-51.71901895246855,53.19,available,68
Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",109962,207,25834,25876,-76.51,12400.48,110169,51710,-53.063021358095284,53.16,available,69
Mumbai,"Kolaba Fort, Alibag",112405,112,50421,12,-55.14,-89.29,112517,50433,-55.17743985353324,52.98,available,70
Lucknow,Residency Building,116348,3367,57194,37,-50.84,-98.9,119715,57231,-52.19396065655933,52.43,available,71
Guwahati,"Kareghar of Ahom Kings, Sibasagar",119912,577,54595,93,-54.47,-83.88,120489,54688,-54.61162429765373,52.37,available,72
Bhopal,Hoshang Shah's Tomb,130094,2017,57769,39,-55.59,-98.07,132111,57808,-56.242856385917904,51.56,available,73
Delhi,Hauzkhas,145544,2625,39837,148,-72.63,-94.36,148169,39985,-73.01392329029689,50.55,available,74
Jaipur,Baori at Abhaneri,66821,85732,44284,115,-33.73,-99.87,152553,44399,-70.8960164664084,50.3,available,75
Kolkata,Bishnupur Temples,154986,505,117107,237,-24.44,-53.07,155491,117344,-24.533252728453736,50.13,available,76
Dharwad,"Ibrahim Rauza, Bijapur",155565,1290,57759,12,-62.87,-99.07,156855,57771,-63.16916897771827,50.05,available,77
Tiruchirappalli,Fort Vattakottai,159492,340,5058,36,-96.83,-89.41,159832,5094,-96.81290354872615,49.89,available,78
Mumbai,Lohgad Fort,161651,579,31042,21,-80.8,-96.37,162230,31063,-80.85249337360537,49.76,available,79
Thrissur,"Fort, Palakkad, Palakkad",174589,241,43927,26,-74.84,-89.21,174830,43953,-74.85957787565063,49.1,available,80
Aurangabad,Aurangabad Caves,182032,2690,34976,19,-80.79,-99.29,184722,34995,-81.05531555526684,48.61,available,81
Banglore,Keshava Temple,178425,8653,64222,196,-64.01,-97.73,187078,64418,-65.56623440490063,48.5,available,82
Dharwad,Durga temple complex Aihole,186767,3849,75089,99,-59.8,-97.43,190616,75188,-60.55525244470559,48.34,available,83
Jaipur,Ancient Site Bhangarh,190833,1893,53946,85,-71.73,-95.51,192726,54031,-71.96486203210776,48.24,available,84
Sarnath,"Old Fort (Shahi Fort), Jaunpur",198922,114,67163,127,-66.24,11.4,199036,67290,-66.19204566008159,47.96,available,85
Aurangabad,Pandulena Caves,202871,1128,29,0,-99.99,-100.0,203999,29,-99.98578424404042,47.74,available,86
Patna,Sher Shah's Tomb,208177,153,95051,95133,-54.34,62078.43,208330,190184,-8.710219363509816,47.56,available,87
Delhi,Jantar Mantar,203197,6516,76108,230,-62.54,-96.47,209713,76338,-63.59882315354795,47.5,available,88
Vadodara,"Sun temple, Modhera",208028,3732,85407,103,-58.94,-97.24,211760,85510,-59.61938043067624,47.41,available,89
Agra,Itimad-ud-Daulah-Tomb,132800,82692,41016,410,-69.11,-99.5,215492,41426,-80.77608449501605,47.26,available,90
Mumbai,Raigad Fort,218338,82,76438,0,-64.99,-100.0,218420,76438,-65.00412050178555,47.14,available,91
Mumbai,"Caves, Temples and inscriptions Karla",219758,2068,51045,21,-76.77,-98.98,221826,51066,-76.97925400989966,47.0,available,92
Mumbai,Aga  Khan Palace Building,219939,9264,18963,55,-91.38,-99.41,229203,19018,-91.70255188631911,46.72,available,93
Thrissur,"Fort St. Angelo, Kannur",234518,3305,65683,115,-71.99,-96.52,237823,65798,-72.33320578749742,46.39,available,94
Agra,Mehtab Bagh,178574,62325,62652,544,-64.92,-99.13,240899,63196,-73.76659928019626,46.28,available,95
Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,241299,98,131764,141,-45.39,43.88,241397,131905,-45.357647360986256,46.26,available,96
Agra,Akbar Tomb Sikandra,229270,19625,99509,321,-56.6,-98.36,248895,99830,-59.89071696900299,45.99,available,97
Mumbai,"Janjira Fort, Murd",253315,151,149221,7,-41.09,-95.36,253466,149228,-41.12504241200003,45.83,available,98
Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41,-76.47,-98.97,254692,59020,-76.82691250608579,45.79,available,99
Bhopal,Gwalior Fort,255734,7744,101464,130,-60.32,-98.32,263478,101594,-61.44118294506562,45.49,available,100
Dharwad,Group of Monuments (WH) Pattadakal,262144,4310,123110,61,-53.04,-98.58,266454,123171,-53.774009772793804,45.39,available,101
Banglore,Palace of Tipu Sultan,256964,10719,38706,270,-84.94,-97.48,267683,38976,-85.43949372952335,45.35,available,102
Jabalpur,"Western Group of Temples, Khajuraho",244995,41741,128515,275,-47.54,-99.34,286736,128790,-55.08411918977736,44.74,available,103
Aurangabad,Ajanta Caves,273344,15899,47554,82,-82.6,-99.48,289243,47636,-83.53080281977438,44.67,available,104
Tiruchirappalli,"Fort Museum, Thirumayam",294829,5259,41487,1555,-85.93,-70.43,300088,43042,-85.65687398363147,44.34,available,105
Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,311115,2489,73727,57,-76.3,-97.71,313604,73784,-76.47223887450416,43.96,available,106
Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",334846,728,115333,242,-65.56,-66.76,335574,115575,-65.5590123191904,43.36,available,107
Banglore,Fortress and Temple Chitrudurga Fort,338340,1095,144862,297,-57.18,-72.88,339435,145159,-57.23511128787544,43.26,available,108
Vadodara,"Rani Ki-Vav, Patan",337134,3816,96900,143,-71.26,-96.25,340950,97043,-71.53746883707288,43.22,available,109
Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",354946,105,73899,6,-79.18,-94.29,355051,73905,-79.1846805106872,42.86,available,110
Jhansi,Rani Jhansi Fort,361294,705,174622,107,-51.67,-84.82,361999,174729,-51.732187105489245,42.69,available,111
Dharwad,"Jaina & Vaishnava Cave, Badami",372051,6758,172259,167,-53.7,-97.53,378809,172426,-54.48207407954933,42.29,available,112
Thrissur,mattancherry Palace Museum Kochi,300465,79355,23026,177,-92.34,-99.78,379820,23203,-93.89105365699541,42.27,available,113
Bhopal,Roopmati's Pavilion,392485,1884,148680,91,-62.12,-95.17,394369,148771,-62.27619310848469,41.94,available,114
Vadodara,"Rudabai Step Well, Adalaj",388042,7907,86840,204,-77.62,-97.42,395949,87044,-78.01636069291752,41.91,available,115
Bhopal,"Group of monument, Royal Palace Mandu",408302,2427,181868,128,-55.46,-94.73,410729,181996,-55.68951790596719,41.58,available,116
Mumbai,Buddhist Caves Kanheri,401808,12106,213,0,-99.95,-100.0,413914,213,-99.94854003488648,41.52,available,117
Patna,Excavated Remains at Nalanda,437506,26903,105748,105816,-75.83,293.32,464409,211564,-54.444465977188216,40.5,available,118
