Sl. No.,Country/Territory,Arrivals (In Numbers),North (In Percentage),South (In Percentage),West and Central (In Percentage),East (In Percentage),North East (In Percentage)
111,Mongolia,3911,79.11,13.81,4.47,2.61,0
112,Taiwan (pr. Of China),42598,48.3,31.94,15.16,4.55,0.04
113,Tibet,1812,78.04,21.69,0.22,0.06,0
114,Oceania,606711,43.71,35.34,18.69,2.23,0.02
115,American Samoa,7,28.57,57.14,14.29,0,0
116,Australia,518205,43.1,36.55,18,2.32,0.03
117,Cook Islands,2,50,50,0,0,0
118,Fiji,5229,57.01,19.7,21.9,1.4,0
119,French Polynesia,4,100,0,0,0,0
120,Kiribati,162,91.98,4.94,3.09,0,0
121,Marshall Islands,13,69.23,0,30.77,0,0
122,Micronesia FSM,47,95.74,0,2.13,2.13,0
123,Nauru,144,98.61,1.39,0,0,0
124,New Caledonia,3,100,0,0,0,0
125,New Zealand,81115,46.37,28.9,22.95,1.77,0.01
126,Palau,8,87.5,0,12.5,0,0
127,Papua New Guinea,685,42.19,35.18,20.44,2.19,0
128,Samoa,149,17.45,79.87,2.68,0,0
129,Solomon Islands,50,80,20,0,0,0
130,Tonga,134,39.55,54.48,5.97,0,0
131,Tuvalu,159,91.82,6.29,1.89,0,0
132,Vanuatu,595,58.99,10.59,28.74,1.68,0
133,South Asia,2409812,15.09,15.94,2.57,59.99,6.42
134,Afghanistan,1253,87.15,3.83,8.54,0.4,0.08
135,Bangladesh,1750165,4.95,5.28,0.66,80.37,8.74
136,Bhutan,41265,46.92,1.29,0.9,49.85,1.04
137,Iran,21406,61.26,11.39,26.83,0.52,0
138,Maldives,84770,2.38,93.23,4.36,0.03,0
139,Nepal,202501,73.69,5.74,11.25,8.7,0.61
140,Pakistan,26625,96.72,0.37,2.9,0,0
141,Sri Lanka,281827,23.56,70.24,5.98,0.21,0
142,South-East Asia,867210,31.41,44.1,13.86,10.53,0.1
143,Brunei,863,26.77,59.33,12.28,1.51,0.12
144,Cambodia,11326,71.77,3.73,10.11,14.29,0.09
145,Indonesia,39227,39.02,29.59,27.34,3.95,0.11
146,Laos,2997,50.02,8.48,4.1,36.97,0.43
147,Malaysia,307526,22.24,66.54,8.85,2.29,0.08
148,Myanmar,47588,44.27,11.61,3.95,40.04,0.13
149,Philippines,57542,28.22,39.74,27.67,4.34,0.05
150,Singapore,205383,21.58,55.75,19.19,3.41,0.07
151,Thailand,140489,49.53,11.44,12.43,26.38,0.22
152,Timor-Leste,178,57.87,27.53,14.04,0.56,0
153,Vietnam,54091,50.84,11.1,11.46,26.58,0.02
154,Europe,2657441,45.73,23.2,29.34,1.69,0.03
155,Central/Eastern Europe,384553,56.24,12.49,29.68,1.54,0.02
156,Armenia,2003,42.19,20.77,30.25,6.79,0
157,Azerbaijan,4809,52.8,8.26,38.24,0.71,0
158,Belarus,9126,69.41,10.06,19.19,1.35,0
159,Bulgaria,5938,54.45,22.13,21.17,2.26,0
160,Czech Republic,13890,52.89,19.11,25.15,2.82,0.01
161,Estonia,2965,50.29,19.83,28.33,1.48,0.07
162,Georgia,2757,63.55,16.14,17.92,2.39,0
163,Hungary,9040,50.13,25.59,21.45,2.83,0
164,Kazakhstan,27006,58.8,4.44,36.33,0.42,0
165,Kyrgyzstan,5751,70.44,7.18,20.22,2.16,0
166,Latvia,3649,54.23,22.5,21.43,1.81,0.03
167,Lithuania,6305,57.8,17.65,22.43,2.06,0.06
168,Poland,43316,54.6,17.35,26.14,1.88,0.03
169,Rep. Moldova,905,47.62,21.66,25.97,4.64,0.11
170,Romania,15087,44.12,29.32,22.37,3.96,0.23
171,Russian Federation,160188,46.85,10.38,41.54,1.21,0.01
172,Slovakia,6644,51.99,26.72,18.5,2.78,0.02
173,Tajikistan,6413,95.84,1.92,2.01,0.23,0
174,Turkmenistan,9639,97.83,1.04,0.61,0.51,0.01
175,Ukraine,14875,38.15,28.79,28.5,4.13,0.02
176,Uzbekistan,34247,93.87,1.19,4.75,0.19,0.01
177,Northern Europe,1168217,38.84,26.01,33.36,1.76,0.02
178,Denmark,22456,52.47,26.82,18.9,1.77,0.04
179,Finland,12764,70.71,15.01,12.95,1.29,0.03
180,Iceland,988,58.4,19.13,20.85,1.62,0
181,Ireland,46494,30.77,47.32,18.84,3.05,0.02
182,Norway,21682,54.52,22.63,20.33,2.5,0.02
183,Sweden,41246,44.41,30.63,22.1,2.85,0.01
184,United Kingdom,1022587,37.93,25.06,35.34,1.65,0.02
185,Southern/Medit. Europe,431219,53.22,15.27,29.68,1.8,0.04
186,Albania,729,48.97,30.59,17.56,2.88,0
187,Andorra,168,41.07,8.93,48.81,1.19,0
188,Bosnia & Herzg.,943,44.64,37.12,13.26,4.88,0.11
189,Croatia,4132,44.85,29.7,22.02,3.44,0
190,Cyprus,2274,51.06,23.09,23.31,2.55,0
191,Greece,10596,50.6,22.23,24.07,2.94,0.17
192,Israel,47465,60.29,18,20.32,1.34,0.05
193,Italy,142239,68.64,16.52,12.92,1.89,0.03
194,Malta,2134,40.53,24.93,31.87,2.58,0.09
195,Montenegro,524,29.58,28.82,38.17,3.44,0
196,North Macedonia,662,47.28,30.82,18.43,3.47,0
197,Portugal,92582,23.32,7.41,68.55,0.71,0.01
198,San Marino,57,66.67,24.56,3.51,5.26,0
199,Serbia,4820,47.59,29.65,18.46,4.27,0.02
200,Slovenia,4056,53.13,25.22,18.81,2.81,0.02
201,Spain,81959,60,17.59,19.62,2.71,0.07
202,Turkiye,35829,48.59,12.37,37.54,1.5,0
203,Vatican City,50,46,46,4,4,0
204,Western Europe,673452,46.9,29.5,21.95,1.59,0.05
205,Austria,30393,55.28,26.42,16.45,1.81,0.03
206,Belgium,39813,47.05,20.71,30.26,1.94,0.03
207,France,206855,46.31,33.27,19.17,1.17,0.07
208,Germany,256348,45.56,30.26,22.41,1.76,0.02
209,Liechtenstein,132,60.61,17.42,21.97,0,0
210,Luxembourg,2167,47.85,28.06,21.92,2.17,0
211,Monaco,43,65.12,11.63,23.26,0,0
212,Netherlands,93579,50.12,24.05,24.19,1.61,0.03
213,Switzerland,44122,44.66,29.21,23.92,2.08,0.13
214,Middle East,295511,24.74,42,32.59,0.64,0
215,Bahrain,14041,14.44,63.72,21.4,0.43,0.01
216,Egypt,17825,32.57,27.12,37.18,3.13,0
217,Iraq,40247,86.23,5.3,8.24,0.22,0
218,Jordan,5878,33.72,35.11,27.88,3.28,0
219,Kuwait,10921,20.56,54.83,24.1,0.51,0
220,Lebanon,4405,27.99,40.2,26.56,5.24,0
221,Libya,766,38.25,20.1,40.08,1.57,0
222,Oman,66703,5.86,62.26,31.81,0.07,0
223,Palestine,870,45.4,29.77,23.1,1.72,0
224,Qatar,3673,15.25,51.76,32.1,0.9,0
225,Saudi Arabia,46167,29.11,48.98,21.37,0.46,0
226,Syria,4231,26.9,32.9,37.3,2.91,0
227,Utd Arab Emirates,66699,4.38,39.19,56,0.35,0
228,Yemen,13085,18.67,33.55,47.5,0.27,0.01
229,Others Not Classified Elsewhere,8444,60.46,18.45,19.8,1.22,0.07
Grand Total,Grand Total,9951722,35.62,26.27,19.94,16.6,1.6
